"","model","formula","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","lam(Shrub_500)","SElam(Shrub_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"11","7/8/9","~1 ~ Shrub_500 + Species_Pice_Gla_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.41390598548397,0.520146759646374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38484977229792,0.583229896316548,1.02743739120589,0.332008851854742,-1.62908558061541,0.243229799130732,NA,NA,-1.16049293461985,0.546088239065951,NA,NA,0,31.1625441847432,61.0406270001335,5,98,132.081254000267,5.26128240566575,0.0186458719264648,NA,0.751769470311281,0.3125193743609
"12","6/8/9","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.51757208034746,0.567743770403123,NA,NA,NA,NA,NA,NA,NA,NA,-1.33830008908703,0.471777585274785,NA,NA,0.847332211239299,0.312485153275577,-0.402960776074964,0.386872000632598,NA,NA,-1.13464439076317,0.566694257288047,NA,NA,0,61.6936813140874,61.0661539666091,5,98,132.132307933218,5.31233633861697,0.0181759230820517,NA,0.769945393393333,0.312161132179178
"13","1/6/7","~Julian + 1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Shrub_500 + 1",-2.62079177918141,0.562828770203701,NA,NA,NA,NA,NA,NA,NA,NA,-1.47662299035446,0.285513956364916,-0.913543462252762,0.527011682730033,NA,NA,NA,NA,NA,NA,-1.13681322598117,0.561177699531418,-0.522626120089745,0.322840068727932,0,30.9110092917243,61.1103660012239,5,98,132.220732002448,5.40076040784655,0.0173898338864261,NA,0.787335227279759,0.311540224432917
"14","5/6/8","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",-2.53169474234418,0.581344749143578,NA,NA,NA,NA,NA,NA,-0.166503744448955,0.208018243373951,-1.59243023317243,0.344594024694127,NA,NA,0.685978372225613,0.256997503733286,NA,NA,NA,NA,-1.1567816670301,0.57310937705488,NA,NA,0,50.0377804538373,61.2755359886975,5,98,132.551071977395,5.73110038279376,0.0147422244609382,NA,0.802077451740697,0.30921563748082
"15","5/6/7","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + Shrub_500 + 1",-2.50569368252495,0.568926334335868,NA,NA,NA,NA,NA,NA,-0.308447870032379,0.21834497907156,-1.29228748200367,0.300907167372413,-1.11094805607392,0.544804715241974,NA,NA,NA,NA,NA,NA,-1.19597480036022,0.580296361779538,NA,NA,0,48.181370941469,61.3678803839221,5,98,132.735760767844,5.91578917324296,0.0134418287476945,NA,0.815519280488392,0.307912571956563
"16","3/6/8","~1 ~ LandCover_NonVeg_v1_500 + S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",-2.71823210346763,0.588284322402034,NA,NA,-0.129338230928576,0.192036483638518,NA,NA,NA,NA,-1.8611574996071,0.366408121537989,NA,NA,0.616283384857006,0.272115876331299,NA,NA,NA,NA,-1.14695156114052,0.582021262403258,NA,NA,0,51.705969456351,61.3830607255068,5,98,132.766121451014,5.94614985641235,0.013239318174529,NA,0.82875859866292,0.307698128055625
"17","2/6/8","~1 ~ Jackpine_500 + S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",-2.73374246168652,0.597183911644779,0.187303997310488,0.339037586403402,NA,NA,NA,NA,NA,NA,-1.84098396367725,0.383954691827174,NA,NA,0.622593471304559,0.266625164964232,NA,NA,NA,NA,-1.1161388599095,0.571117224164054,NA,NA,0,41.1554618486799,61.4708280093369,5,98,132.941656018674,6.12168442407258,0.0121268714094419,NA,0.840885470072362,0.306456987149205
"18","3/6/10","~1 ~ LandCover_NonVeg_v1_500 + S500.VPD__9.10m_Grid.1x1m.mean + Tremblingaspen_500 + 1",-3.07763028953811,0.71169175142711,NA,NA,-0.253478256512937,0.178004595958277,NA,NA,NA,NA,-1.40802055132534,0.403015025805747,NA,NA,NA,NA,NA,NA,-1.16066887052198,0.612168158687147,-1.05789739126009,0.571137802308992,NA,NA,0,77.8093576494771,61.4806724020408,5,98,132.961344804082,6.14137320948032,0.0120080754215915,NA,0.852893545493954,0.306317636217261
"19","6/7","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Shrub_500 + 1",-2.67031517798894,0.55799008628672,NA,NA,NA,NA,NA,NA,NA,NA,-1.49339577077197,0.28074342283103,-0.83949704099813,0.517560309144743,NA,NA,NA,NA,NA,NA,-1.04807405399945,0.535922099994289,NA,NA,0,30.969255276636,62.5072470144842,4,98,133.014494028968,6.19452243436723,0.0116931682711412,NA,0.864586713765095,0.291631336764086
"20","3/5/6","~1 ~ LandCover_NonVeg_v1_500 + S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.3830403797297,0.59619752373247,NA,NA,-0.572581914715118,0.260792677496203,NA,NA,-0.557211102335323,0.274457446992429,-1.72208900064758,0.341766721799419,NA,NA,NA,NA,NA,NA,NA,NA,-1.30707625239729,0.65659538451093,NA,NA,0,79.7465152858497,61.55375050912,5,98,133.10750101824,6.2875294236388,0.0111618450257614,NA,0.875748558790856,0.305282313475027
"21","4/6/8","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",-2.71852366121365,0.608425696764716,NA,NA,NA,NA,0.0475206025653176,0.207551899551803,NA,NA,-1.76475436165717,0.348239956060631,NA,NA,0.647711998469756,0.268641381153238,NA,NA,NA,NA,-1.10912511947263,0.564624699272634,NA,NA,0,38.4736541377437,61.5996804421896,5,98,133.199360884379,6.37938928977795,0.0106607773168461,NA,0.886409336107703,0.304630817636515
"22","6/10","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Tremblingaspen_500 + 1",-2.84497580302875,0.631083957393221,NA,NA,NA,NA,NA,NA,NA,NA,-1.03314068058551,0.313697552753777,NA,NA,NA,NA,NA,NA,-1.09572015816423,0.633984570301216,-0.916065784272871,0.498942830916701,NA,NA,0,50.556210176368,62.6909745604219,4,98,133.381949120844,6.56197752624266,0.00973061612970054,NA,0.896139952237403,0.288970293154765
"23","8/9/10","~1 ~ Species_Pice_Gla_v1_500 + Structure_Stand_CrownClosure_v1_500 + Tremblingaspen_500 + 1",-2.92790451820378,0.699946605538824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0674892978447,0.308919920982088,-1.01333396659265,0.274056242597655,-1.58488193172823,0.676395022407761,-0.923959618393711,0.496836832934171,NA,NA,0,65.2617467123834,61.7583044519389,5,98,133.516608903878,6.69663730927661,0.0090970239844422,NA,0.905236976221845,0.302376103812982
"24","1/6/10","~Julian + 1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Tremblingaspen_500 + 1",-2.84763143831024,0.629809231522584,NA,NA,NA,NA,NA,NA,NA,NA,-1.01259074405406,0.310213305079015,NA,NA,NA,NA,NA,NA,-1.05980846644352,0.638336706270296,-0.855934782872523,0.465195222700519,-0.451937553620842,0.340141558721545,0,49.3455662236688,61.7660336063094,5,98,133.532067212619,6.71209561801757,0.00902698271035181,NA,0.914263958932197,0.302266053444142
"25","2/7/10","~1 ~ Jackpine_500 + Shrub_500 + Tremblingaspen_500 + 1",-3.37875122183519,0.754416550385826,-0.847178650246082,0.322688911139813,NA,NA,NA,NA,NA,NA,NA,NA,-1.0719141963474,0.537452466231983,NA,NA,NA,NA,-2.51974266607112,0.64106887482699,-0.902293517105588,0.485826275738342,NA,NA,0,38.9716986610512,61.8724375884842,5,98,133.744875176968,6.92490358236714,0.00811581144194331,NA,0.92237977037414,0.300749271055369
"26","6/7/9","~1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Shrub_500 + Structure_Stand_CrownClosure_v1_500 + 1",-2.61474404427346,0.557773763338409,NA,NA,NA,NA,NA,NA,NA,NA,-1.13813928855939,0.469847736367049,-1.12237476483806,0.620638852496149,NA,NA,-0.370549768601684,0.420110442844806,NA,NA,-1.09010299280637,0.549038339482678,NA,NA,0,58.1725775235029,62.0977579849604,5,98,134.195515969921,7.37554437531955,0.0064785310337117,NA,0.928858301407852,0.297526449485302
