"","model","formula","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"45","159","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.894539996763083,0.205657319965006,NA,NA,NA,NA,0.367988875078655,0.154619371487694,NA,NA,NA,NA,NA,NA,0.38313752036338,0.136485876349921,-0.480204211306213,0.281575142415795,0.00146877253515891,0.251940077156842,0,10.3737828925322,157.511688500238,5,98,325.023377000477,8.00509241583757,0.00265103648313881,NA,0.968469232102707,0.127187084259005
"46","56","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + 1",NA,NA,-0.930444662512415,0.213565096459514,NA,NA,NA,NA,0.390843717539461,0.155338769742562,-0.544473110757701,0.32247511001888,NA,NA,NA,NA,NA,NA,-0.456490005859186,0.236619607146896,NA,NA,0,7.67988034967105,158.620377362668,4,98,325.240754725335,8.22247014069609,0.0023780048238809,NA,0.970847236926588,0.107213441761161
"47","47","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",NA,NA,-0.881551966243558,0.199714455713736,NA,NA,0.275217956866878,0.161278888498946,NA,NA,NA,NA,0.471816602015676,0.144056660947848,NA,NA,NA,NA,-0.464883946722573,0.237004382445258,NA,NA,0,5.04592982274178,158.641814155339,4,98,325.283628310677,8.26534372603822,0.00232757053356297,NA,0.973174807460151,0.106822775080274
"48","349","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__150.200cm_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.878655714262826,0.203981831407419,0.741360106110436,0.463475670236319,-0.398716700384057,0.460104421364428,NA,NA,NA,NA,NA,NA,NA,NA,0.484677208609645,0.138973376227742,-0.518022738175803,0.249347798991656,NA,NA,0,34.0273799864886,157.6687111059,5,98,325.337422211799,8.31913762716044,0.00226580042171635,NA,0.975440607881867,0.124385631472846
"49","49","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.865750125551614,0.198402132388691,NA,NA,0.285809636424862,0.165664230575682,NA,NA,NA,NA,NA,NA,NA,NA,0.456627605458463,0.137967003826874,-0.481995211465339,0.240343268707429,NA,NA,0,5.36044698314799,158.876108626506,4,98,325.752217253012,8.73393266837263,0.00184140812262119,NA,0.977282016004488,0.102541803858702
"50","129","~Julian + 1 ~ Fen_500 + Tremblingaspen_500 + 1",0.29069392635812,0.11757366906739,-0.840134665289973,0.218664092069205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.461672412360053,0.145885499088416,-0.600017606134031,0.32095130263806,0.139704213160202,0.271282632603795,0,14.0575269125366,157.910400545358,5,98,325.820801090716,8.80251650607727,0.00177933312302877,NA,0.979061349127517,0.120056049372186
"51","389","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Swamp_500 + Tremblingaspen_500 + 1",NA,NA,-0.88099883124411,0.203016854084786,0.356163600606245,0.168143084609543,NA,NA,NA,NA,NA,NA,NA,NA,-0.103591824983498,0.227868777915387,0.475825398126739,0.138447256698388,-0.503320967036813,0.245530249907798,NA,NA,0,5.70844185437722,157.91971932393,5,98,325.83943864786,8.82115406322072,0.00176282893054224,NA,0.980824178058059,0.119888686461663
"52","456","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + 1",NA,NA,-0.941612185844124,0.214645232535997,NA,NA,-0.304883922265265,0.268388107680123,0.609703109090499,0.24196870868761,-0.535065094700202,0.325904739580184,NA,NA,NA,NA,NA,NA,-0.456051833708148,0.236113793162603,NA,NA,0,10.4339560183482,157.950081279357,5,98,325.900162558714,8.88187797407448,0.00171011036629138,NA,0.98253428842435,0.119343172562653
"53","469","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.914170904777919,0.212601816606566,NA,NA,0.27320544468476,0.163683387353352,NA,NA,-0.36881488426438,0.319516665420008,NA,NA,NA,NA,0.392430225976758,0.149243567494363,-0.489034205157315,0.242511678706278,NA,NA,0,8.51966084567482,157.96888635684,5,98,325.937772713679,8.91948812904019,0.00167825209580517,NA,0.984212540520156,0.119005131784817
"54","79","~1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.855628567965742,0.195574666553499,NA,NA,NA,NA,NA,NA,NA,NA,0.273405408232617,0.167326227077329,NA,NA,0.253025556862089,0.170106022236495,-0.469030637145085,0.236394618568695,NA,NA,0,7.84581652967504,159.007702062704,4,98,326.015404125408,8.99711954076906,0.00161435763249776,NA,0.985826898152653,0.1001283684929
