"","model","formula","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"11","5/7/8","~1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.283190080534977,1.17695530517167,NA,NA,NA,NA,0.645401509351715,0.237051963700817,NA,NA,0.294843171206206,0.316858603685455,-1.08997074047939,0.312644471797911,NA,NA,NA,NA,-3.12114734759191,1.21622150423372,NA,NA,0,162.742607517148,75.4978364747103,5,98,160.995672949421,9.0248684668708,0.00621242967302988,NA,0.92343674337588,0.195306820554376
"12","5/6/8","~1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.427202508961531,0.973047381276547,NA,NA,NA,NA,0.734370634647131,0.210228240497197,0.263517423598468,0.296384920724552,NA,NA,-1.08177103563295,0.298393803460002,NA,NA,NA,NA,-2.93380038518886,1.00224268518667,NA,NA,0,115.682789462018,75.5878947554529,5,98,161.175789510906,9.20498502835591,0.00567740232162102,NA,0.929114145697501,0.193826495623629
"13","5/8/9","~1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + Swamp_150 + 1",NA,NA,-0.412038970265346,1.01021083584716,NA,NA,NA,NA,0.723652716798885,0.209013023774667,NA,NA,NA,NA,-0.925605759050813,0.247268791151669,-0.34717355682652,0.61669903901362,NA,NA,-2.95860887326536,1.03657950886121,NA,NA,0,117.673852158211,75.5893272417975,5,98,161.178654483595,9.20785000104507,0.00566927534260554,NA,0.934783421040107,0.19380292726818
"14","1/5/8","~Julian + 1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.388329687994001,1.0166134342562,NA,NA,NA,NA,0.729458497771017,0.21218238925447,NA,NA,NA,NA,-0.965490393338589,0.259188069139629,NA,NA,NA,NA,-2.98109446597202,1.04780338081125,0.142347166210316,0.260809284707322,0,118.32226313258,75.8172887423028,5,98,161.634577484606,9.66377300205579,0.00451362140473329,NA,0.93929704244484,0.190043538285908
"15","2/3/10","~1 ~ Fen_150 + S500.VPD__10.11m_Grid.1x1m.mean + Tremblingaspen_150 + 1",-30.992599715009,418.682981613372,-7.82384961750617,98.2506466348798,-0.654785909122629,0.250355377928818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.691276612744638,0.476889780294264,-2.71822249606557,0.933261077308097,NA,NA,1,12395438.8176303,75.8253817977859,5,98,161.650763595572,9.67995911302188,0.00447723983388612,NA,0.943774282278726,0.189909751266694
"16","2/3/5","~1 ~ Fen_150 + S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-14.2276179716201,303.474434541105,-3.85235055364819,71.2146391145367,-0.868618766547722,0.247661256951913,NA,NA,0.287842470432998,0.197535260762823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.71546709812531,0.930939195978416,NA,NA,0,6416668.80795891,76.1167922537589,5,98,162.233584507518,10.262780024968,0.00334543353505202,NA,0.947119715813778,0.185077666963642
"17","3/5","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",NA,NA,-0.649421194423086,0.870688465426159,-0.907915453846159,0.251096992004988,NA,NA,0.300223487205954,0.200557977327203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6719834168557,0.894104692859619,NA,NA,0,96.8655025794232,77.2103138410845,4,98,162.420627682169,10.4498231996191,0.00304674773329936,NA,0.950166463547077,0.166686785830449
"18","2/3","~1 ~ Fen_150 + S500.VPD__10.11m_Grid.1x1m.mean + 1",-13.4341377685546,226.351239001706,-3.57323764578519,53.1195883083173,-0.840166560572574,0.223224649339568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.68936568919717,0.908896489359401,NA,NA,0,3232455.65205323,77.2740230834612,4,98,162.548046166922,10.5772416843724,0.00285869567287799,NA,0.953025159219955,0.165602616813168
"19","3/10","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + Tremblingaspen_150 + 1",NA,NA,-0.699452697129368,0.876985636037332,-0.720651207086091,0.250727077687875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.624553462230037,0.478807252730291,-2.66355454674808,0.883535139462222,NA,NA,0,96.6561151629268,77.314438530402,4,98,162.628877060804,10.6580725782542,0.00274546378076156,NA,0.955770623000717,0.164914117746761
"20","2/3/7","~1 ~ Fen_150 + S500.VPD__10.11m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",-14.2226560758693,282.945271486909,-3.78160966868935,66.39580589626,-0.974364778146449,0.254800409224705,NA,NA,NA,NA,NA,NA,0.274763629202583,0.223752940966727,NA,NA,NA,NA,NA,NA,-2.75419664647228,0.968295642156004,NA,NA,0,5001277.84845934,76.3479804485222,5,98,162.695960897044,10.7251564144945,0.00265490294192036,NA,0.958425525942637,0.181223675711247
"21","3/7/8","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.382555017292911,1.15400295945867,-0.684236064613989,0.315196080486866,NA,NA,NA,NA,NA,NA,0.550377512099357,0.300897671245884,-0.571679470610124,0.382087697934342,NA,NA,NA,NA,-2.97218406066124,1.20135484256791,NA,NA,0,221.110854332449,76.3736893520352,5,98,162.74737870407,10.7765742215206,0.00258751820365864,NA,0.961013044146296,0.180793974392639
