,SS,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150
70,BG_15_72,4701.388366,0,0,0,0,0,0,0,0,27817.24433,0,0,0,11257.93201,0,26070.54714,0,0,0,0,0,0,0,831.8035316,0,0,0,82.90625
71,BG_15_73,0,28012.18312,0,0,3181.453106,0,0,0,0,0,0,4031.665162,35455.44449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.69230769
72,BG_15_74,28780.81565,0,0,0,0,0,109.9172669,0,0,18553.72932,0,0,0,0,0,0,0,0,23236.12808,0,0,0,0,0,0,0,0,88.85294118
73,BG_15_75,2582.837055,7410.372315,0,0,0,0,0,0,0,53444.73959,0,0,7242.173088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.49253731
74,BG_15_77,11408.44523,0,0,0,0,0,0,0,0,6337.46734,0,0,0,770.4629339,0,13839.04998,0,0,34815.03255,0,0,2114.14078,0,0,0,1395.435765,0,87.16901408
75,BG_15_78,24754.60335,0,0,0,0,0,0,0,0,16555.52624,0,0,0,0,0,10373.55897,0,0,630.3578848,0,0,18365.18668,0,0,0,0,0,84
76,BG_15_79,40674.41037,0,0,0,0,0,0,0,0,17489.91738,0,0,0,0,0,9177.668361,0,0,0,0,0,3337.618148,0,0,0,0,0,83.58333333
77,BG_15_8,66775.1181,0,0,0,0,3904.529407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
78,BG_15_80,42761.35587,18204.63247,0,0,0,0,9712.914749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.14285714
79,BG_15_81,13175.42121,0,0,0,0,0,23057.73638,0,0,0,0,0,0,0,0,0,0,0,34447.68917,0,0,0,0,0,0,0,0,96.24137931
80,BG_15_82,0,0,0,0,0,0,15483.34635,0,1501.980017,0,0,127.5086157,1136.267885,44371.15011,0,8059.680535,0,0,0,0,0,0,0,0,0,0,0,87.7755102
81,BG_15_83,0,10225.10781,0,0,0,0,0,0,0,45372.09924,0,0,0,1641.489234,0,13439.96145,0,0,0,0,0,0,0,0,0,0,0,89.21428571
82,BG_15_84,0,31652.68275,0,0,0,0,370.5281835,0,0,0,0,0,0,0,0,30642.62177,0,0,0,0,0,0,0,0,0,0,8014.668092,92.25
