SS,Blackspruce_50,BlackspruceMixCD_50,Bog_50,Fen_50,GrassHerb_50,Jackpine_50,JackpineMixCD_50,JackpineMixWet_50,Shrub_50,Swamp_50,Tamarack_50,TamarackMixCD_50,TamarackMixDC_50,Tremblingaspen_50,TremblingaspenMixCD_50,TremblingaspenMixD_50,TremblingaspenMixDC_50,Water_50,Whitebirch_50,WhitebirchMixD_50,Whitespruce_50,WhitespruceMixWet_50,wtage_50,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
BG_15_37,0,0,0,0,0,0,0,0,0,0,7852.499145,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,10685.70505,0,0,0,0,0,52431.72025,0,0,0,0,0,0,7562.322707,0,0,0,0,0,0,0,84.16129032,32922.79235,50179.29861,0,0,0,7731.856732,279061.7398,0,0,10251.08595,0,0,0,383375.7534,6110.061066,0,4703.690927,0,0,0,11041.92032,0,0,0,0,0,0,0,0,85.63865546
BG_15_38,6644.534233,832.5452672,0,0,0,375.2832306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.3076923,30185.6573,22969.56091,0,0,0,0,13700.49892,0,0,0,0,0,3823.683607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.20930233,228768.6652,80846.92993,0,0,0,67846.19892,159540.7634,0,0,63552.47246,0,0,0,156236.8519,0,0,0,0,0,0,28584.20638,0,0,0,0,0,0,0,0,86.32038835
BG_15_39,106.1048132,2268.904711,1136.391704,2007.856957,0,0,0,177.6143369,0,377.2310857,1777.870111,0,0,0,0,0,0,0,0,0,0,0,81.91666667,10748.03731,24049.85406,0,1206.629536,3776.343101,0,0,0,0,16940.09724,0,1282.50037,12676.50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.18918919,198542.8903,107966.815,0,1206.629536,3776.343101,32903.28703,50934.2967,0,24714.61156,116785.7195,0,0,1282.50037,174724.9787,0,0,36722.81271,0,0,20345.9915,963.9898197,0,0,0,0,14507.17275,0,0,0,86.44460857
BG_15_4,7851.669685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.5,64213.56094,0,0,0,0,0,6466.76925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.4864865,562719.7214,23597.99253,0,0,0,0,46857.52238,0,47849.49311,0,0,0,0,0,0,0,6847.847946,0,0,72237.86956,0,0,0,0,0,683.928272,0,0,24582.54948,105.539924
BG_15_40,1964.283601,0,0,0,0,0,5887.476502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.8,19633.57544,0,0,0,0,0,1961.101233,0,48052.56636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031.938604,99.51282051,127129.9608,44300.49002,0,0,0,0,170185.147,0,132259.7871,59043.96623,0,0,0,19791.30222,0,0,145029.0604,0,0,20345.9915,0,0,0,0,0,33598.51321,0,0,33693.76927,87.87343533
BG_15_41,7783.999008,0,0,0,0,68.43183471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.22222222,41127.62144,0,0,0,0,0,15972.06633,0,0,0,0,0,13581.07267,0,0,0.834707476,0,0,0,0,0,0,0,0,0,0,0,84,149295.8528,27655.57376,0,0,0,0,258671.7511,0,0,0,0,0,0,224496.9438,0,0,125255.404,0,0,0,0,0,0,0,0,0,0,0,0,83.70588235
BG_15_42,5246.663676,0,0,0,0,2605.3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,21210.86519,0,0,0,0,0,34650.05162,0,0,0,0,0,0,0,0,14819.53204,0,0,0,0,0,0,0,0,0,0,0,81.96296296,233835.2104,440.2056784,0,2339.850502,6345.200887,0,394000.7114,0,0,450.5588766,0,0,0,0,0,0,143842.4457,0,0,0,0,0,701.3474399,0,3422.507691,0,0,0,0,81.103125
BG_15_43,0,0,0,0,0,6361.668527,0,0,0,0,0,0,0,1490.593106,0,0,0,0,0,0,0,0,79,2997.952527,0,0,0,0,0,40098.03029,0,0,0,0,0,0,0,0,27585.8989,0,0,0,0,0,0,0,0,0,0,0,83.09090909,365496.9786,0,0,2339.850502,6345.200887,0,144218.1812,0,0,36741.44216,0,0,0,0,0,0,171581.1816,0,0,12888.14606,30574.98278,0,15190.75607,0,0,0,0,0,0,85.82098765
BG_15_44,7852.950314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.66666667,54270.55865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.65763,0,0,0,0,0,0,0,95.36363636,415676.0047,70632.83648,0,0,1513.66188,0,88957.68045,0,0,0,0,0,1188.162091,0,0,0,28659.58445,0,0,236.6438893,178515.2077,0,0,0,0,0,0,0,0,93.46428571
BG_15_45,0,7852.353618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,67894.87667,0,0,2.895433677,0,2781.330055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,278172.8498,164250.4886,0,0,1513.66188,0,209596.4409,0,0,0,0,16417.89256,1188.162091,0,0,0,83348.29852,10463.03436,0,0,20428.0374,0,0,0,0,0,0,0,0,89.02439024
BG_15_46,2515.732767,0,0,0,0,1302.618172,0,0,0,0,0,4033.431925,0,0,0,0,0,0,0,0,0,0,91,18417.55308,0,0,0,0,0,18962.40776,0,0,0,0,0,0,33298.87157,0,0,0,0,0,0,0,0,0,0,0,0,0,89,155563.1684,58738.13935,0,0,0,0,265697.5771,0,0,4064.61641,0,21542.49086,0,63744.25613,111139.4777,0,89662.0325,0,0,0,15225.35466,0,0,0,0,0,0,0,0,85.25
BG_15_47,0,0,0,0,0,0,0,3684.322602,0,0,4168.178062,0,0,0,0,0,0,0,0,0,0,0,83,0,3230.745543,0,0,0,0,1240.755352,0,0,12952.46846,6861.065463,0,45573.66669,821.4184725,0,0,0,0,0,0,0,0,0,0,0,0,0,85.20689655,123136.0393,31696.62375,0,281.3433298,2976.139022,0,174644.4311,0,0,60686.28128,0,49645.92105,0,219953.185,66917.37342,0,11320.25064,0,0,0,44118.04222,0,0,0,0,0,0,0,0,85.73728814
BG_15_48,1.549609883,0,0,0,0,4494.410784,0,0,0,0,3356.212101,0,0,0,0,0,0,0,0,0,0,0,85,20739.7978,0,0,0,0,0,18965.18167,0,0,0,0,0,30977.13585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.78947368,203799.9152,16018.34535,0,1305.566447,3518.977249,0,137893.7253,0,0,72211.84792,0,5905.794437,0,341607.8337,0,0,3113.994471,0,0,0,0,0,0,0,0,0,0,0,0,85.08879493
BG_15_49,1407.768898,0,0,0,0,0,0,0,0,0,6444.614155,0,0,0,0,0,0,0,0,0,0,0,89,25772.39018,0,0,0,0,0,4238.095805,0,0,143.7552516,0,0,31414.23039,0,0,9111.944701,0,0,0,0,0,0,0,0,0,0,0,86.19298246,119686.8212,11181.9506,0,1102.533515,706.7419146,0,178539.2822,0,0,100598.769,0,9713.929687,0,335920.8463,0,0,23039.68525,0,0,0,487.318687,0,0,0,0,0,4399.686572,0,0,83.86178862
BG_15_5,0,907.2254669,0,0,0,6944.117588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5466.741488,20704.37129,0,0,0,0,33013.74718,0,229.9758667,11265.56041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.26315789,221831.3828,219244.7348,0,0,0,0,131508.5571,0,80923.30381,124284.0323,0,0,0,7586.843853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.85897436
