"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean.VPD__1.2m_Grid.1x1m)","SElam(S500.mean.VPD__1.2m_Grid.1x1m)","lam(S500.mean.VPD__10.11m_Grid.1x1m)","SElam(S500.mean.VPD__10.11m_Grid.1x1m)","lam(S500.mean.VPD__2.3m_Grid.1x1m)","SElam(S500.mean.VPD__2.3m_Grid.1x1m)","lam(S500.mean.VPD__3.4m_Grid.1x1m)","SElam(S500.mean.VPD__3.4m_Grid.1x1m)","lam(S500.mean.VPD__4.5m_Grid.1x1m)","SElam(S500.mean.VPD__4.5m_Grid.1x1m)","lam(S500.mean.VPD__5.6m_Grid.1x1m)","SElam(S500.mean.VPD__5.6m_Grid.1x1m)","lam(S500.mean.VPD__6.7m_Grid.1x1m)","SElam(S500.mean.VPD__6.7m_Grid.1x1m)","lam(S500.mean.VPD__7.8m_Grid.1x1m)","SElam(S500.mean.VPD__7.8m_Grid.1x1m)","lam(S500.mean.VPD__8.9m_Grid.1x1m)","SElam(S500.mean.VPD__8.9m_Grid.1x1m)","lam(S500.mean.VPD__9.10m_Grid.1x1m)","SElam(S500.mean.VPD__9.10m_Grid.1x1m)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","3/12","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean_MaxHeight + 1",1.55823620613983,1.27347760759796,NA,NA,0.0013406710632279,0.000602985344844213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.395675146136149,0.136443397758427,NA,NA,-2.18512325136762,1.0304788188042,NA,NA,0,6845953.79392909,49.8390624501367,4,98,107.678124900273,0.904685004967192,0.0216059984273148,NA,0.250573485778359
"12","12","~1 ~ S500.mean_MaxHeight + 1",1.02226494283811,1.25721713863456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.336662736669171,0.132518157793902,NA,NA,-2.1702852337204,1.02935966979383,NA,NA,0,936.109765676437,50.9937936242443,3,98,107.987587248489,1.21414735318238,0.0185086799215098,NA,0.269082165699869
"13","1/4/12","~Julian + 1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47908603893489,1.25688795860044,NA,NA,NA,NA,0.00139935508900717,0.000682942896276758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.378608975619281,0.136026010885061,NA,NA,1.62350118282657,3.54950208622222,-0.0229285673071744,0.0203968730562053,0,28620979.9975808,49.1748449205677,5,98,108.349689841135,1.57624994582909,0.0154435047539583,NA,0.284525670453828
"14","1/2/12","~Julian + 1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47924814104813,1.25694068851958,0.0014002660835364,0.000683729098035074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.378622592028494,0.136031242405634,NA,NA,1.62447872050553,3.54963357386484,-0.0229349333423466,0.0203972155339046,0,28558457.1761536,49.1749780994496,5,98,108.349956198899,1.57651630359298,0.0154414481422135,NA,0.299967118596041
"15","1/5/12","~Julian + 1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47926425210085,1.25685242499862,NA,NA,NA,NA,NA,NA,0.00140089056913955,0.0006842667535953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.378639769347688,0.136035700728969,NA,NA,1.62544261248442,3.54976067478182,-0.0229400611173177,0.0203979639469998,0,28516362.4722693,49.1750660435536,5,98,108.350132087107,1.57669219180106,0.0154400902176032,NA,0.315407208813644
"16","1/6/12","~Julian + 1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47935230034425,1.25683305584621,NA,NA,NA,NA,NA,NA,NA,NA,0.00140163139720013,0.000684904847027243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.378654955341342,0.136040289546354,NA,NA,1.62635122301199,3.5498837871131,-0.0229454181577651,0.0203984912823239,0,28466159.4668626,49.1751648768684,5,98,108.350329753737,1.57688985843056,0.0154385642977141,NA,0.330845773111358
"17","1/10/12","~Julian + 1 ~ S500.mean.VPD__8.9m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47945931064783,1.25687590312687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00140190456530473,0.000685130732496331,NA,NA,-0.378660102612408,0.136041130825102,NA,NA,1.62640439321259,3.5498979479334,-0.022946121162841,0.0203984269136782,0,28448255.7279553,49.1751790606199,5,98,108.35035812124,1.57691822593353,0.0154383453225078,NA,0.346284118433866
"18","1/11/12","~Julian + 1 ~ S500.mean.VPD__9.10m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47949350885409,1.25690232812931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00140193463535774,0.000685154641153109,-0.378659750092281,0.136041006184252,NA,NA,1.6263432651977,3.54989015108041,-0.0229459778994441,0.0203983200654449,0,28446267.1165997,49.1751852156649,5,98,108.35037043133,1.57693053602354,0.0154382502990899,NA,0.361722368732956
"19","1/9/12","~Julian + 1 ~ S500.mean.VPD__7.8m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47943923342098,1.25685692331957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00140193363531256,0.000685158161619938,NA,NA,NA,NA,-0.378661144555614,0.136041569923953,NA,NA,1.62652447318996,3.54991230941146,-0.0229466857278811,0.0203985351988262,0,28446164.7810377,49.1751867101268,5,98,108.350373420254,1.57693352494726,0.0154382272272309,NA,0.377160595960187
"20","1/7/12","~Julian + 1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean_MaxHeight + 1",1.47939601784872,1.25683561723012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00140186754551909,0.000685106005863219,NA,NA,NA,NA,NA,NA,NA,NA,-0.378659927431687,0.136041574454666,NA,NA,1.62657962211089,3.54991589470162,-0.0229468329305225,0.0203986069764163,0,28450327.2948493,49.1751908499568,5,98,108.350381699914,1.57694180460734,0.0154381633157263,NA,0.392598759275913
