45,64,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,59,60,61,62,63,64,65,67,77,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,61,2,3,8,9,10,11,12,14,18,19,20,21,22,24,28,29,30,31,32,33,35,39,40,41,42,43,44,45,50,51,52,53,54,55,56,57,61,62,63,64,65,66,67,68,73,74,75,76,77,78,83,84,85,86,87,88,89,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,61,1,4,5,6,7,8,9,13,15,16,17,18,19,23,25,26,27,28,29,30,31,34,36,37,38,39,40,41,42,45,48,49,50,51,52,53,58,59,60,61,62,63,64,69,70,71,72,73,74,79,80,81,82,83,84,90,91,92,93,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,71,1,4,5,6,7,8,9,10,13,15,16,17,18,19,20,23,25,26,27,28,29,30,31,32,34,36,37,38,39,40,41,42,43,45,47,49,50,51,52,53,54,56,58,59,60,61,62,63,64,65,69,70,71,72,73,74,75,79,80,81,82,83,84,85,90,91,92,93,94,95,96,,,,,,,,,,,,,,,,,,,,,,,,,
49,81,1,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,47,48,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,76,79,80,81,82,83,84,85,86,90,91,92,93,94,95,96,97,,,,,,,,,,,,,,,
50,91,1,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,90,91,92,93,94,95,96,97,98,,,,,
51,96,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
52,96,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
53,91,2,3,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,,,,,
54,81,2,3,6,7,8,9,10,11,12,14,17,18,19,20,21,22,24,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,55,56,57,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,81,82,83,84,85,86,87,88,89,92,93,94,95,96,97,98,,,,,,,,,,,,,,,
