"","SS","VPC_00.01m_Grid.1x1m","VPC_01.02m_Grid.1x1m","VPC_02.03m_Grid.1x1m","VPC_03.04m_Grid.1x1m","VPC_04.05m_Grid.1x1m","VPC_05.06m_Grid.1x1m","VPC_06.07m_Grid.1x1m","VPC_07.08m_Grid.1x1m","VPC_08.09m_Grid.1x1m","VPC_09.10m_Grid.1x1m","VPC_10.11m_Grid.1x1m","VPC_11.12m_Grid.1x1m","VPC_12.13m_Grid.1x1m","VPC_13.14m_Grid.1x1m","VPC_14.15m_Grid.1x1m","VPC_15.16m_Grid.1x1m","VPC_16.17m_Grid.1x1m","VPC_17.18m_Grid.1x1m","VPC_18.19m_Grid.1x1m","VPC_19.20m_Grid.1x1m","VPC_20m.above_Grid.1x1m"
"21","BG_15_28",6.95131839273247,2.10994446089685,2.20984875837395,1.91092405701629,1.70248057572545,1.54552002688911,1.41381564387639,1.34403544051674,1.29782496424248,1.2695690520956,1.24442153478419,1.25020847592552,1.24667982652786,1.21881163149933,0,1.16263632449773,1.09476590184737,1.70228800958465,0.95808157163822,0.974914114962646,2.57793764396271
"22","BG_15_29",6.74450942262024,2.83908915053108,3.15804622619481,2.81406894738198,2.66829744199509,2.58497562849363,2.51953838316296,2.48666395616823,2.45572394337216,2.47533229733263,2.49853272905645,2.52453733359015,2.56189067426676,2.59586829697924,0,2.61191387554039,2.65583746579223,4.6280772998022,2.63275969863224,2.57225760890888,6.19037315500617
"23","BG_15_3",6.61310092550125,3.19095915403315,3.64324476360531,3.31394018583164,3.15437364362262,3.02876789127277,2.95091284782908,2.82505652380327,2.74425412319568,2.6148770620392,2.4720256053054,2.29254449175737,2.12321621918974,1.95200157325675,0,1.79271755773777,1.61775594123203,2.3389996617052,1.27549057551037,1.21984539160946,3.4255633638331
"24","BG_15_30",5.35158452010281,2.760922248046,3.24822673073347,2.93867707746205,2.79686213346547,2.77507462831071,2.79698150791642,2.86541873758773,2.98276092250751,3.08942412161902,3.13856417087497,3.11988687977559,3.0932994801624,3.08502795652297,0,3.06084435121547,3.07229448970965,5.1592491256178,2.89447173921199,2.78135682584398,7.4319680355695
"25","BG_15_31",5.11586392302766,1.88916695923257,2.01916464755904,1.8395219714935,1.75793506075947,1.73783886498984,1.78347231814051,1.91002111054188,2.0773272879945,2.26112114992796,2.40681380455003,2.53228250391854,2.59347687374395,2.64391990720198,0,2.70231881531961,2.72080085804976,4.50846284311953,2.77281280704855,2.75508175663341,7.25163524090661
"26","BG_15_32",6.00739847497626,2.86384263334669,3.25430946492877,3.00753247630679,2.81496992958472,2.68076031700195,2.67277633096861,2.82753524377243,3.02909807994688,3.19795193689909,3.31280910509185,3.32710341800492,3.25855690462145,3.15089911703174,0,3.04557300771454,2.91920331307313,4.75144239951933,2.88758553965983,2.98818494715898,9.40815302527172
"27","BG_15_33",6.04726609392442,2.99843776868663,3.46226553509965,3.19205306091202,3.00174783055504,2.86208136526653,2.79689289761768,2.8607247585719,2.99615243287024,3.10556456703063,3.2027483428823,3.21908048820608,3.14725092984552,3.04110874101799,0,2.90116518063494,2.7553257733344,4.57824728403819,2.84441122344445,2.98359726098689,9.37436602036903
"28","BG_15_34",5.71217968231981,2.61972017545321,3.10337699443147,2.80856546015243,2.61998633153576,2.47585589149403,2.36400286079758,2.24600653086373,2.13678659544638,2.06760243402695,2.01557674876218,1.95141500242362,1.84450771557313,1.75808365941293,0,1.71526022646177,1.70128363899724,2.74187165932437,1.56175097647255,1.48941376067817,4.35567311600705
"29","BG_15_35",7.60495993105633,3.56072497985494,3.97205003248739,3.5498301561536,3.36178359066286,3.24171543339645,3.17323214255608,3.0942495424354,3.04331950608503,3.0282503976621,3.01959850510835,3.01412978997199,3.01352164222643,3.03363594153884,0,3.07103503650467,3.10630877493179,5.32129972728334,3.04328562540678,2.80734210775131,6.68768443952751
"30","BG_15_36",9.53047188945586,4.06031657446349,4.60165472395787,4.0931792253183,3.7955281858769,3.61296891813641,3.47614473781094,3.34888307014339,3.28118854219808,3.23633026681057,3.19300832967616,3.19946883574234,3.22277758344168,3.25232160522242,0,3.32060944302209,3.37804420869756,5.97851628965188,3.59891192973545,3.56523943213174,8.50753121160902
"31","BG_15_37",8.7341015631276,3.94322360801552,4.47448472369768,3.74369210445795,3.36048229818596,3.1443415973864,3.01550082093458,2.89054817522082,2.7754492429247,2.69305520816623,2.58888632773217,2.48351133230337,2.40264389487418,2.31882741694256,0,2.14127567849362,1.99942798153504,2.97618749235112,1.42491437466796,1.24437796432773,3.02197126951183
"32","BG_15_38",6.90432271004177,2.72408139025379,3.03682786832091,2.7304942838095,2.52608989312536,2.39559265637701,2.28094147417993,2.19787409525034,2.10866365036122,2.01188876808244,1.9428134694933,1.8511586185952,1.77885748253779,1.69568635546322,0,1.54153301053089,1.37473219818795,1.78645956932931,0.680598997915352,0.526911470378575,0.541514294374502
"33","BG_15_39",6.4401397613934,2.33518594210389,2.75619363329336,2.6075424173319,2.54394546225949,2.4888811968663,2.45206331064185,2.42706114071883,2.37291540814904,2.32055137372535,2.26054387452934,2.15526622584532,2.00632642914688,1.88465667680813,0,1.72576334764951,1.55889848402201,2.1979800053641,1.06291453715935,0.945269484289568,2.77369110808647
"34","BG_15_4",5.87639855472101,2.93261679472272,3.31448405434377,2.9884382035299,2.82114604972703,2.74529488536441,2.65349998778122,2.53342946976233,2.43689893035838,2.28020514816401,2.15253219502762,2.02824204099516,1.89917230297403,1.79611477297034,0,1.67977087450739,1.55935909199438,2.36002010907665,1.29499965499952,1.22166090552539,3.93783898110186
"35","BG_15_40",4.79736275851388,1.70040355620461,2.11201241360037,2.14554569651176,2.21059013753663,2.29235960050759,2.41102882149025,2.54715515491236,2.66610079431845,2.74227261510811,2.73192334827691,2.69618951564578,2.62668759166494,2.58747224151796,0,2.51186580730443,2.40662548581271,3.714118971855,1.92167059938685,1.70037829795948,3.79641045183493
"36","BG_15_41",6.55569186588829,2.68839534752547,3.13951247190138,3.00345790904903,2.74977746472625,2.46387328637454,2.1927671012682,2.0182327510646,1.93824998858682,1.93767473059257,1.96465185639367,1.97566431017208,1.97998007288734,1.96488868477416,0,1.95965537483237,1.95299029005271,3.23352410554455,1.86249670979276,1.77156614795276,3.72856127366893
"37","BG_15_42",6.0434914213275,2.95218617022167,3.11353797079279,2.78381427782693,2.74146282905788,2.77415337736279,2.76076337045544,2.7896071291459,2.82579496536576,2.89927532797308,2.92672575393942,2.87660782508811,2.76507951588085,2.63797311098261,0,2.50911527852302,2.39673132489377,3.6355865998319,1.81213959012323,1.62335225368045,2.91342415869329
"38","BG_15_43",6.26254315380741,3.17683449547635,3.4868717800256,3.04462126726336,2.6953269975081,2.4172259714684,2.2238258972649,2.15507074263008,2.13086893383555,2.12201940007166,2.11099575839417,2.06848012606246,1.9557488775784,1.87371161956662,0,1.79170697405155,1.735588361087,2.70808897540381,1.5306529112357,1.53151179416255,4.33086855066851
"39","BG_15_44",5.92417026499433,2.38151561306142,2.80807548520077,2.54033216593929,2.35193875586939,2.1467379486516,1.98730457409783,1.83765105532192,1.67628022478038,1.52604282490517,1.40372232697502,1.2730397800355,1.13443305266395,1.0317800158993,0,0.916140254640771,0.775639137655709,1.06821556976215,0.51362962895562,0.43637092928938,0.855245524316621
"40","BG_15_45",7.1860213729176,2.95151042984367,3.4594841830736,3.24738691812768,3.12426723324697,2.97722795042306,2.92450038700155,2.88430461662173,2.89311796266916,2.83133690649402,2.74957923293716,2.62511563160566,2.49338519473951,2.41781009173446,0,2.35969264566572,2.34958067458379,4.1260635774021,2.44630818455768,2.33354980714491,5.86424186844081
"41","BG_15_46",9.03410221211128,3.58863212964665,4.12973810711012,3.89004457603809,3.73147988597318,3.6327732468934,3.58670834887674,3.56567343980332,3.58340441373789,3.49780637835489,3.38977046185804,3.21562494784012,3.04968504635463,2.92677734572431,0,2.77703122345918,2.67391202446848,4.33974119556342,2.46135315778255,2.5211938446052,6.46405743773521
"42","BG_15_47",9.09893359850524,3.91806577936655,4.4388637088077,3.96525210034874,3.66912084690583,3.41267015935397,3.26090032951593,3.12652388176508,3.01716904660137,2.87929179361349,2.71627622867665,2.51121065630273,2.31667683797798,2.1594509981822,0,1.8884666141526,1.68675589826989,2.3159110971377,0.998720215047272,0.813530563759185,0.96413901619943
"43","BG_15_48",8.16968538263308,3.46288410456736,4.17250939534691,3.91387751293133,3.60469278702381,3.29629153209176,3.06855827423681,2.89811747398994,2.74428745440172,2.52201118401605,2.30187090601062,2.04687160453472,1.78946724176737,1.58033319041489,0,1.25966949520227,1.03617612484758,1.32011838773817,0.626231288976304,0.601867644468763,0.83253516834507
"44","BG_15_49",6.89844225174751,2.84734753698027,3.43103511583807,3.22517412921779,3.12273420648433,3.02088950706723,2.98225500331782,2.96984658723749,2.91806439540564,2.76788612573376,2.53224635939033,2.23916102881568,1.91091813506576,1.63203295810652,0,1.30392443415852,1.08861960275587,1.33326582743945,0.596256842386952,0.505687521682808,0.699582450353456
"45","BG_15_5",6.30621103148502,2.93503912629209,3.3412295019798,3.13523459500097,3.01810146690419,2.93160695453358,2.8571707551146,2.76410015741019,2.67566563422775,2.55636938764891,2.42313136664969,2.2702014822568,2.10854419388429,1.95164558328276,0,1.79801022619142,1.64926747778224,2.29603815977083,1.15523338282397,0.940462126443145,1.09227512038859
"46","BG_15_50",5.57015155240481,2.05605791872498,2.24132267211608,2.13739778834748,2.1395689315989,2.17606843791333,2.25932892493813,2.34140385465815,2.38885340506289,2.31936204868392,2.15346423740881,1.91887122644113,1.65779692945516,1.40200532900568,0,1.15523444203997,0.906247015507508,1.06473279810264,0.435422041210261,0.345700176567954,0.463083810455031
"47","BG_15_51",10.8055604413901,5.57658029825805,6.30705639131638,5.65826808849927,5.52516444022879,5.62088026144075,5.88567731013081,6.21583121809565,6.39850963169324,6.42601087706488,6.25089194357613,5.94084158892508,5.57498118939804,5.07957154511954,0,4.56998900242828,4.14302950703438,6.49910327195417,3.22408026164908,2.77893675255369,3.78144668599183
"48","BG_15_52",10.4415899583037,5.51866033346528,6.22345366316419,5.46613182520263,5.24560708021045,5.26369516291242,5.35217892369536,5.5079937844158,5.6590934208283,5.71696936807182,5.59748321347925,5.38148694653179,5.16248060342921,4.93587115784188,0,4.7589944527375,4.6884223632931,8.03761757082984,4.69974401652758,4.71348578036365,12.6408964622966
"49","BG_15_53",10.8339973949452,5.58681767108747,6.53933978307211,5.86521192606681,5.53473250087408,5.46337810381339,5.49776501290997,5.59670654049035,5.74731455215775,5.92551500603489,5.95405639216023,5.78510120830299,5.4512407240282,5.06048549001556,0,4.70849369823651,4.45592802173594,7.37550549593486,4.28530151518012,4.42806709144915,12.9938897199139
"50","BG_15_54",11.35902832385,5.19190008669663,6.14603451915312,5.77195641487063,5.52004100411782,5.34951671167346,5.1972250589043,5.16423252651499,5.1499515732492,5.07068263206244,4.95405312722423,4.7703872812544,4.48314141524776,4.2540172955689,0,4.09808583973974,3.95197019498874,6.8251222743415,4.11455871210236,4.29374042191693,12.4704734809918
"51","BG_15_55",10.5112370401432,4.87079457872796,5.8765485402594,5.678360956788,5.61900978143584,5.54308758614763,5.56618443042682,5.7927118324376,5.99553390062199,6.10362193236228,6.08923012795106,6.10477919346851,5.90441693696649,5.61723372255836,0,5.40368615693247,5.16225760097585,8.35128000196497,4.89618313966276,4.87473011900761,12.915276505948
"52","BG_15_56",11.4316214788515,5.18821840505092,6.15691767273734,6.13222724061538,6.26264508273975,6.28673943518042,6.28984413379183,6.34072801964066,6.30302815887582,6.23412742940142,5.95537904822306,5.58922653857022,5.11618474836582,4.57778959656615,0,3.9813417295665,3.35805979450772,4.26306204177213,1.81128569132374,1.44414566776342,2.19026931251469
"53","BG_15_57",12.0002475109987,4.85860435503776,5.64670091416313,5.5599444472539,5.60052387567995,5.6095499884605,5.54074029239408,5.42665508705623,5.22812010332048,4.94268076478256,4.42811802957061,3.81731098247747,3.22766207050665,2.69632900675175,0,2.18019833420823,1.70306431927146,2.07570401526356,0.938852783194607,0.850000870493463,0.848150179940515
"54","BG_15_58",10.4335871441126,4.48490558028583,5.05162025554914,4.89310179781551,4.78017946277774,4.71927916783365,4.76806825213777,4.8437839116625,4.80826685413849,4.64355552624354,4.45681545750231,4.16078388491208,3.67662100583352,3.31082400262841,0,2.99645390053952,2.84854238246897,4.53508863175484,2.37579490044099,2.01154032612602,3.5381901209366
"55","BG_15_59",8.02205231793377,3.88012866409696,4.41836794410241,4.25789013220525,4.20180770581752,4.12664268253098,4.22006495134802,4.28573562958617,4.2696281277097,4.14044510563038,3.96800781794074,3.77278745384272,3.53018930850325,3.36422065538473,0,3.27659898804036,3.2732106003789,5.47846712434024,3.10021948990462,2.82747240763941,7.81349499020375
"56","BG_15_6",6.10045771012282,2.84254746342292,3.10052455505944,2.78425375089446,2.66299559124319,2.57855807574156,2.51125721612221,2.47043760925577,2.38495410716755,2.31911411266112,2.23080951356631,2.11703991060552,2.05305631243538,1.9842434345381,0,1.81349303820032,1.64889575124356,2.242845660344,1.00200697151495,0.775144342246865,0.975019455883332
"57","BG_15_60",7.44671574307908,3.82819526128346,4.07554139740403,3.84765628912323,3.70010399368178,3.62862075475366,3.54552812556002,3.40336729737511,3.20014398549706,2.89651924252149,2.56976861053321,2.28806249057804,2.08641907506588,1.87546838244911,0,1.71016305013345,1.51865606821861,2.15599923463351,1.14492011712252,1.17727917871619,3.36531076243229
"58","BG_15_61",12.6806813424006,6.43421433989064,7.77650788213957,7.08057688532732,6.68853052583744,6.50060366966054,6.45751797696238,6.53727873096629,6.66031354877081,6.67958012762748,6.57336604389871,6.35742371564337,6.05964598815903,5.61008329850055,0,5.13295507017286,4.7389739174766,7.54256350162169,4.04688706632991,3.71176414733416,5.59020558401862
"59","BG_15_62",12.1928722625276,6.64743423097199,7.59486272360753,7.00010708007729,6.74360043440575,6.63131049458497,6.56562580647704,6.56181523241597,6.6143231519146,6.6058142810574,6.50887051796054,6.36440765070108,6.16935497797559,5.76928335845444,0,5.40538355979488,5.04249739455329,7.70307817815301,4.53798374420308,4.74764900619331,9.89803926064664
"60","BG_15_63",12.719846249679,6.20346200937236,7.35578184745143,6.82658194447368,6.58316822600945,6.53853474515351,6.52596380358529,6.54009539035167,6.5376849804778,6.52177655994927,6.4430643990911,6.28241912653115,6.03662575447919,5.60524618116822,0,5.13288919018808,4.73361753726824,7.58674031142894,4.28245407170246,4.32056109412612,9.87479357547362
"61","BG_15_64",12.2424209130307,5.47520676337359,6.34486462698691,6.11289136782611,6.17572994837922,6.3505760823933,6.60753966499115,6.92720980831223,7.16883799873841,7.3187879333622,7.4238183344152,7.3168449981455,7.05174381216022,6.70888964630885,0,6.41055669260856,6.0739018026065,9.57460765511931,5.38554460783238,5.3744213161086,12.4824150788014
"62","BG_15_65",11.8199129382862,5.40734907097762,6.4759664383191,6.2990149047911,6.36512558607471,6.41920203872625,6.49532797823762,6.73067560285461,6.92541249580358,7.07503914961796,7.03367490593726,6.9047304400933,6.59065419001451,6.09895235276158,0,5.69438448068609,5.26145100519555,7.86199644633689,4.22386646697252,4.20515614768832,11.2673113262064
"63","BG_15_66",12.4268975159236,5.75884821319854,6.58153114336607,6.49446765575168,6.58234096637709,6.63601555241976,6.74988767790504,6.94185864156695,7.12804701171343,7.16263808374728,6.83029577636509,6.20105648691124,5.28443456043716,4.2461492206199,0,3.26176712207601,2.402548717731,2.5403659840418,1.00991276392422,0.798581307237252,1.15890579176388
"64","BG_15_67",12.6870220775103,5.75606565973522,6.57534739611635,6.49008795425905,6.63273645876376,6.74253168408759,6.84001442425607,6.91159563170229,6.89467939172071,6.70013300235844,6.16449089469162,5.36753402941523,4.46609682438503,3.53654571886469,0,2.65395277743397,2.09275424487873,2.94069248424379,1.60166395694366,1.52003520171254,2.80560058567996
"65","BG_15_68",12.0953412189258,5.95895564932488,6.23438526607781,5.53521937556401,5.53011019309538,5.72583748972437,5.96001478646667,6.12043582542898,6.18357165335425,6.11888104279578,6.07753015684026,5.89615404590251,5.58093990991006,5.37276322093192,0,5.29899559662382,5.50333886124421,9.8366526426273,5.82476398149913,5.53124592682284,12.1463485415934
"66","BG_15_69",12.2116885455185,6.7361501118001,7.27279777457043,6.88584405870009,6.72982362464559,6.48576049759161,6.34118977074109,6.20657078612407,6.01121570586696,5.75201908601908,5.4729703440195,5.15481087787851,4.87364860127789,4.76616765708202,0,4.849353527614,5.01934496739708,8.63209555830297,4.90634309768945,4.52641780640201,10.4896253224131
"67","BG_15_7",5.70654060684155,2.72183801405503,3.0272653998691,2.67285701386278,2.4431361953849,2.24345749979511,2.08314096546053,1.98582154617931,1.91902552469601,1.84344837063844,1.78670298400691,1.77521602586246,1.79055408931106,1.82616166308181,0,1.80820344551668,1.73046394086023,2.36281297128121,0.964307220050228,0.702307712058019,0.679996252862159
"68","BG_15_70",11.5147007656001,6.51287941477836,7.52680904442404,7.36759762349542,7.19016733700465,6.87231962202087,6.82103456463357,6.79926996319855,6.6624812219263,6.28499547465979,5.81999791206146,5.28266945986401,4.87626577173971,4.29299922336206,0,3.70657523146886,3.24958007303494,4.87388675580532,2.71237781683013,2.68496815752429,5.26692466826571
"69","BG_15_71",9.42555970062607,4.72640771078451,5.46247997264672,5.32249183514737,5.11204207532677,4.84173042886804,4.46739600047734,4.15580838275429,3.7732476627319,3.3938222117129,3.12946384156843,2.90395694742348,2.72388606880634,2.49198387821506,0,2.2667100978869,2.08909223402693,2.75986155101375,1.50100873656804,1.44726537035587,4.03121876488634
"70","BG_15_72",9.04367055097654,4.6841638629287,5.09145673291276,4.65927641263404,4.42120806713774,4.205753661462,4.0776292846186,4.04287262982717,4.06922631246975,4.10026532185465,4.10289961850075,4.08149355435902,4.11219263756539,4.03880187357367,0,3.99913653019169,3.97917230087543,6.59439598069757,4.23621069165901,4.5100157678907,9.84149276647504
"71","BG_15_73",10.3808910344707,4.29239323053185,5.3652345228871,5.01745590440528,4.64926078290513,4.29476239964008,3.98830696240786,3.72325332836247,3.43943431922587,3.10519287871136,2.7824460966773,2.46218933726352,2.21197715896575,2.01440287837511,0,1.90555468521108,1.88505997032445,3.45279250657694,2.36290762798077,2.61371990038814,7.68366262859976
